SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14
-1420.31077548489,2628.13943299651,-3408.0844459869,-4894.56700114394,-3478.51381572615,814.697823137976,-11959.2531889677,-16289.6940372065,-2173.91030044481,-26507.2149909288,-4561.46318272501,-5518.78141497448,3348.05509440601,-2663.32075277902
-2394.26063834131,1029.71497836337,-7086.10517963767,-9425.19200533629,-5142.8813867867,-7314.85135917366,-16562.5661097765,-27198.3364940286,-19191.0531348474,3581.15919479239,-878.257882967591,-12268.7309889868,29120.0937652588,-4911.56769548438
-3596.47245860472,-1262.20410941914,-9415.0487703979,-11573.0311973691,-6090.6291641891,-14414.9452656508,-17254.6496495008,-36449.8321731091,-30782.7332277298,16335.7446470186,-8613.31005377322,-20285.0312880874,48699.1949541867,-9387.51934122387
-1530.02775580296,1272.34004307538,-7813.58706058189,-7344.3576529026,-1120.2142421864,-7649.20891953632,-11325.5783577934,-34502.2868483886,-27886.4691955447,6434.66637009382,-11710.3445127718,-20530.2898591757,40069.9698956907,-10133.7403559499
257.061675289646,3950.92934845761,-1033.58046241477,-6593.84045627341,468.949094712734,862.389729950577,-8123.1289321729,-32922.4131007791,-24876.4624453485,-1550.24837720394,-16432.349657448,-19898.4384605214,13087.6893177219,-8050.97651104024
2205.19581143674,9367.12235990167,5820.73546350002,332.008146873675,4506.15738257114,28990.2516926974,-8744.49791525723,-30391.6823254079,-16654.699321121,-1946.93356510811,-15100.2858174741,-11270.2702931473,-5197.89631816,-5102.76783284266
1232.58244252205,9432.18506461382,6316.30002760887,-2674.68748809397,3078.16450481117,26002.419733882,-7647.53382643312,-19809.8858442307,-6729.20559263229,-4961.15089865774,-6230.78620121628,-3754.85309460759,-22204.4335157275,-2962.9259759821
259.969070881605,9497.2477908209,6811.86468273401,-5681.38316070288,1650.17165958928,23014.5877320767,-6550.56973326532,-9228.08929914236,3196.28823544085,-7975.36832693406,2638.71332208812,3760.56407791749,-39210.9706216902,-823.084077879321
-2540.98391324375,8417.77954784781,5104.50910067,-3977.78984141117,3314.39117962122,30317.8590018749,-7944.64051379263,-3529.50155168213,3504.50539969234,-14876.5575294432,5605.12946429849,4811.85167672439,-48419.1646539569,766.326290886849
-42.9206575143617,7856.66381019354,3820.0677202642,-662.20082210633,1137.31200086698,22722.5408070311,-7037.06741569936,-425.536456152797,2458.77829707041,-22971.6271852218,5225.64379877411,5737.81964931265,-54864.3266328573,609.412155048922
-55.4865953633562,7510.95466869356,-3727.26131653786,-2612.13822672484,1279.04730697395,10616.8357065544,-9660.30201845616,1511.48293195665,4945.38200657815,-29846.4466480017,-1326.79170196643,199.515350043774,-49443.0242316723,-3977.19937434793
-951.836865883321,5147.27195623517,-4864.61353641748,-4266.53399507701,-269.633179843426,-669.803383529186,-12817.3502393961,-7937.64267188311,-4112.6707020402,-21366.7973983884,-5281.65390902758,-4810.1655793488,-12066.3763544559,-3211.51125612855
-1848.18713698722,2783.58920363337,-6001.96568579227,-5920.92977388203,-1818.31365741324,-11956.4424504042,-15974.3984969258,-17386.7683432996,-13170.7233717553,-12887.1482113656,-9236.51613085345,-9819.8464772813,25310.2715671286,-2445.82311454043
-2530.2534903679,-1592.06796524301,-10479.6979833841,-4189.83028216288,-3978.0377714783,-15495.9770602435,-16570.7050848566,-28486.6674521342,-21304.171145916,11092.8714622259,-12022.2385471258,-16096.180424219,52095.368691504,-7744.4803995206
-1207.70482628047,-274.341302327812,-9198.6102540493,-4406.32477206783,-4211.64228258748,-30117.0005876124,-15662.5344427079,-35142.2402188182,-31214.3700255156,31420.6325992905,-14283.7113834806,-22926.3695486784,57602.8238376286,-10908.6740320362
-1892.27018408664,-750.218631856144,-10290.2839998901,-5340.11772924056,-3891.79598068446,-33517.5792458952,-17070.7317358255,-40149.8887755871,-33419.5016213656,20718.8212115914,-19340.3397413194,-25183.5397399366,44268.6309719384,-15387.2763468325
-4115.57515030168,-365.192946184427,-8377.09232878685,-6075.2044011429,-3159.03566435445,-29084.5708728731,-17502.5639796853,-38745.0610525608,-30051.8993121684,16066.0631785542,-18760.4487023205,-24402.0928731114,29757.1038956791,-15905.5905447453
-80.931024796213,8123.44985733042,4637.92595439404,-3980.73889000434,166.934618953615,-14940.3930575959,-10798.2275531851,-24690.6674008668,-22415.0190420076,5033.05438351259,-11817.6028694669,-6765.28215261176,-8389.02513946034,-5648.81554471701
-835.550844888203,5470.16418495029,4004.79979804158,-3264.46886925958,121.995180291124,-6509.07081416762,-10403.0835242157,-18386.1168372855,-17969.3938352987,3930.9166486077,-7485.38439188618,-3496.93317138962,-16420.308939564,-7615.23761854135
